DT,OPEN,HIGH,LOW,CLOSE,AMT,CLOSE多头排列信号,CLOSE空头排列信号,CLOSE_RSI2>80,CLOSE_RSI2<20,CLOSE_RSI3>80,CLOSE_RSI3<20,CLOSE_RSI14>80,CLOSE_RSI14<20,CLOSE_aboveMA5,CLOSE_aboveMA10,CLOSE_aboveMA40,CLOSE_aboveMA200,神奇九转_高9,神奇九转_低9,bband_up_break,bband_down_break,Dir,Value,found,近60bar最大下行超10,低点抬高,大阳线,大阴线,上涨3,下跌3,当前K线低点>昨天低点,当前K线高点>昨天高点,当前K线开盘介于昨天开盘和收盘之间,阳线,阴线,收盘明显高于最低,明显下引线,跳空后缺口不封闭,当前K线最高价<长下引线阴线最高价,当前K线最低价<长下引线阴线后所有线最低价,连续3天以上阴线且最高最低下移,长下引线阴线后所有线最高价<前一根最高价,长下引线阴线后第二根线最低价>下引线最低价,检测到低点后高点到低点下降10,检测到低点后当前点高于最低点,检测到低点后当前点被前高支撑,检测到低点后和前最低点靠近,检测到低点后除去最低后还有相近低点,检测到低点后除去最低后还有2上相近低点,检测到低点后当前低点在之前的下引线附近,检测到低点后高点在之前最低点的左侧,检测到低点后和前最低相隔>=5K线,检测到低点后和前最低相隔>=10K线
2016-01-13,231.31,231.7,229.15,229.22,14874386440,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,1.0,234.75,2016-01-11,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-14,229.3,232.39,228.63,231.47,18158731020,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-15,231.9,232.36,228.88,230.35,19218781680,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-18,230.2,232.3,230.0,231.41,14127047300,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,,,,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-19,231.12,231.59,230.33,231.2,7494578180,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,,,,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-01-20,230.2,232.09,230.05,232.01,9989214400,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,,,,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
2016-01-21,232.15,234.85,232.15,234.0,15760960860,True,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,-1.0,229.22,2016-01-13,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True
2016-01-22,233.38,233.8,232.11,232.5,13671184840,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,,,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-25,233.0,233.75,232.3,233.62,10079038060,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,,,,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-26,234.48,236.66,233.82,236.64,17894076020,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,,,,False,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-27,235.89,237.78,235.61,237.11,18471725200,True,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,,,,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-28,236.85,237.87,236.5,236.85,15590520500,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,,,,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-01-29,237.32,237.56,235.69,236.2,14643660060,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-02-01,235.53,238.0,235.3,237.9,12142620480,True,False,True,False,False,False,False,False,True,True,True,True,True,False,False,False,,,,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-02-02,237.85,239.15,237.5,238.35,11739815000,True,False,True,False,True,False,False,False,True,True,True,True,True,False,False,False,,,,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-02-03,238.1,239.57,238.1,239.0,10855861800,True,False,True,False,True,False,False,False,True,True,True,True,True,False,False,False,,,,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-02-04,239.5,241.88,238.75,241.8,17889469840,True,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,,,,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-02-05,242.18,243.98,242.01,243.91,13524472660,True,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,,,,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-02-15,259.5,259.5,253.1,253.42,21756808400,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,,,,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-16,252.81,253.62,250.0,251.19,17090937680,True,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,,,,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-17,254.56,254.56,251.0,253.7,20120855140,True,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,,,,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-02-18,252.38,254.06,252.35,253.07,14070523800,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,,,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
